Fastighetsbeteckning,Adress,Kommunnamn
Ekorren 2,Ateljevägen 14,Sundbyberg
Stugan 10,Prästgårdsgatan 14,Sundbyberg
Pollux 2,Bergdalen 2,Sundbyberg
Polaris 2,Bergdalen 1,Sundbyberg
Stugan 6,Råstensgatan 6,Sundbyberg
Polaris 2,Bergdalen 3,Sundbyberg
Vargen 2,Friluftsvägen 10,Sundbyberg
Pollux 2,Bergdalen 4,Sundbyberg
Ekorren 2,Ateljevägen 20,Sundbyberg
Tallbacken 1,Råstensgatan 4,Sundbyberg
Facklan 5,Hagavägen 4,Solna
Entitan 1,Krysshammarvägen 10,Solna
Grön�nken 1,Krysshammarvägen 28,Solna
Entitan 1,Krysshammarvägen 18,Solna
Polaris 2,Bergdalen 5,Sundbyberg
Pollux 2,Bergdalen 6,Sundbyberg
Tallbacken 4,Råstensgatan 2,Sundbyberg
Grön�nken 1,Krysshammarvägen 40,Solna
Vargen 2,Friluftsvägen 18,Sundbyberg
Ekorren 2,Ateljevägen 24,Sundbyberg
Berghällen 15,Gjuteribacken 4,Sundbyberg
Åkeriet 8,Landsvägen 15,Sundbyberg
Fortet 2,Råsundavägen 1-3,Solna
Entitan 1,Krysshammarvägen 2,Solna
Entitan 1,Krysshammarvägen 14,Solna
Fortet 2,Råsundavägen 1-3,Solna
Vargen 2,Friluftsvägen 22,Sundbyberg
Berghällen 15,Gjuteribacken 6,Sundbyberg
Gåsen 7,Rosengatan 10,Sundbyberg
Åkeriet 1,Trädgårdsgatan 4,Sundbyberg
Grön�nken 1,Krysshammarvägen 24,Solna
Spenaten 1,Bygatan 7,Solna
Grön�nken 1,Krysshammarvägen 36,Solna
Grönkålen 1,Jonstorpsvägen 26-32,Solna
Pollux 2,Bergdalen 8,Sundbyberg
Viggen 5,Vackra Vägen 6,Sundbyberg
Berghällen 14,Gjuteribacken 8,Sundbyberg
Spenaten 1,Bygatan 15,Solna
Spenaten 1,Bygatan 21,Solna
Styckjunkaren 3,Armegatan 38,Solna
Viggen 5,Vackra Vägen 6,Sundbyberg
Åkeriet 1,Trädgårdsgatan 6,Sundbyberg
Spenaten 1,Bygatan 27,Solna
Styckjunkaren 3,Armégatan 38,Solna
Berghällen 13,Gjuteribacken 10 A,Sundbyberg
Spenaten 1,Bygatan 33,Solna
Trasten 3,Stenbrottsgatan 5,Sundbyberg
Trasten 3,Tulegatan 20,Sundbyberg
Grönkålen 1,Jonstorpsvägen 18-24,Solna
Åkeriet 1,Trädgårdsgatan 8,Sundbyberg
Berghällen 12,Gjuteribacken 12 A,Sundbyberg
Viggen 5,Vackra Vägen 6,Sundbyberg
Violen 2,Logdansvägen 32-34,Sundbyberg
Spenaten 1,Bygatan 39,Solna
Stenkvista 5,Prästgårdsgatan 28,Sundbyberg
Rödhaken 1,Kristinelundsvägen 6,Solna
Rovan 2,Storgatan 64,Solna
Bävern 2,Friluftsvägen 29,Sundbyberg
Sundbyberg 2:78,Landsvägen 52,Sundbyberg
Trasten 3,Stenbrottsgatan 3,Sundbyberg
Järva 4:9,Regementsgatan 23,Solna
Blåmesen 1,Kristinelundsvägen 1,Solna
Bo�nken 1,Wiboms Väg 2,Solna
Rovan 1,Storgatan 66,Solna
Violen 2,Logdansvägen 24,Sundbyberg
Trasten 3,Stenbrottsgatan 1,Sundbyberg
Bävern 2,Vackra Vägen 14,Sundbyberg
Ritorp 5,Ritorpsvägen 3,Solna
Ritorp 5,Regemensgatan 50,Solna
Bävern 2,Friluftsvägen 31,Sundbyberg
